#LOCALTIME -5
StationID,DATETIME,WS,TMEAN,TMAX,TMIN,RM
14939,2017-01-01 00:00:00,3.2,-2.78,5.0,-7.78,69
14939,2017-01-02 00:00:00,4.7,2.78,3.33,-1.11,86.4
14939,2017-01-03 00:00:00,8.7,-3.89,-1.11,-12.22,62.6
14939,2017-01-04 00:00:00,4.0,-11.11,-10.0,-13.89,70.6
14939,2017-01-05 00:00:00,3.8,-13.33,-11.11,-20.56,75.6
14939,2017-01-06 00:00:00,2.2,-16.67,-10.0,-22.78,70.7
14939,2017-01-07 00:00:00,2.6,-12.22,-6.67,-17.78,74
14939,2017-01-08 00:00:00,4.7,-10.56,1.11,-18.33,72.9
14939,2017-01-09 00:00:00,3.8,-3.89,1.67,-8.89,72.5
14939,2017-01-10 00:00:00,4.3,-0.56,2.78,-5.56,77
14939,2017-01-11 00:00:00,6.5,-3.33,1.11,-10.56,72.4
14939,2017-01-12 00:00:00,4.1,-9.44,-5.0,-12.22,64.6
14939,2017-01-13 00:00:00,3.5,-7.78,-3.89,-10.0,57.3
14939,2017-01-14 00:00:00,0.9,-3.89,3.89,-8.33,57.3
14939,2017-01-15 00:00:00,1.7,-0.56,0.0,-1.67,83.9
14939,2017-01-16 00:00:00,5.0,0.0,0.56,0.0,95.7
14939,2017-01-17 00:00:00,3.2,-0.56,3.33,-5.0,84.9
14939,2017-01-18 00:00:00,4.1,1.11,10.56,-4.44,82.3
14939,2017-01-19 00:00:00,2.5,3.33,6.67,-0.56,95.7
14939,2017-01-20 00:00:00,2.1,5.0,7.78,2.78,97.8
14939,2017-01-21 00:00:00,1.9,6.11,11.67,-2.22,88.7
14939,2017-01-22 00:00:00,3.1,0.56,5.0,-5.0,89.6
14939,2017-01-23 00:00:00,2.7,-0.56,4.44,-6.11,86.9
14939,2017-01-24 00:00:00,5.1,0.0,2.22,-1.11,91.3
14939,2017-01-25 00:00:00,7.2,-0.56,0.56,-5.0,84.8
14939,2017-01-26 00:00:00,5.2,-3.33,0.0,-5.0,71.8
14939,2017-01-27 00:00:00,6.4,-1.67,4.44,-10.0,67.4
14939,2017-01-28 00:00:00,6.8,1.67,5.56,-1.11,67.6
14939,2017-01-29 00:00:00,3.6,3.89,8.89,-3.33,74.1
14939,2017-01-30 00:00:00,4.0,3.89,16.11,-3.33,61.1
14939,2017-01-31 00:00:00,3.0,5.0,7.78,0.56,65.2
14939,2017-02-01 00:00:00,6.1,0.56,1.11,-7.22,66.6
14939,2017-02-02 00:00:00,4.1,-5.0,-2.22,-7.78,54.7
14939,2017-02-03 00:00:00,3.1,-4.44,0.56,-7.22,60.9
14939,2017-02-04 00:00:00,7.0,-0.56,11.67,-6.11,58.5
14939,2017-02-05 00:00:00,2.7,-0.56,5.0,-6.67,66.4
14939,2017-02-06 00:00:00,1.2,0.56,9.44,-6.11,87
14939,2017-02-07 00:00:00,7.2,1.67,6.11,-5.56,79.3
14939,2017-02-08 00:00:00,6.0,-6.67,-5.56,-11.11,72.2
14939,2017-02-09 00:00:00,4.1,-7.22,2.78,-11.67,56.8
14939,2017-02-10 00:00:00,3.5,5.56,21.67,-2.22,53.4
14939,2017-02-11 00:00:00,5.1,7.22,16.11,0.0,72.8
14939,2017-02-12 00:00:00,4.3,6.11,10.56,-5.56,55.1
14939,2017-02-13 00:00:00,3.5,2.22,11.67,-6.67,54.9
14939,2017-02-14 00:00:00,4.5,3.33,12.22,-5.0,63.9
14939,2017-02-15 00:00:00,3.5,4.44,13.33,-3.89,59.2
14939,2017-02-16 00:00:00,2.7,8.89,22.22,1.67,45
14939,2017-02-17 00:00:00,3.8,11.67,23.33,1.11,48.8
14939,2017-02-18 00:00:00,1.5,8.33,20.0,-2.78,59.2
14939,2017-02-19 00:00:00,5.1,10.56,22.78,1.67,71.1
14939,2017-02-20 00:00:00,4.3,15.56,19.44,1.11,84.3
14939,2017-02-21 00:00:00,4.0,8.89,24.44,-3.33,60.3
14939,2017-02-22 00:00:00,4.3,13.89,24.44,2.22,48.1
14939,2017-02-23 00:00:00,7.9,6.11,8.33,0.56,88
14939,2017-02-24 00:00:00,9.4,-1.11,0.56,-3.89,86.4
14939,2017-02-25 00:00:00,3.6,-4.44,2.22,-11.67,69.9
14939,2017-02-26 00:00:00,2.9,2.22,8.33,-5.56,61
14939,2017-02-27 00:00:00,3.0,1.11,14.44,-8.89,68.6
14939,2017-02-28 00:00:00,4.5,6.11,8.89,1.67,78.9
14939,2017-03-01 00:00:00,6.3,3.89,8.33,-5.0,64.3
14939,2017-03-02 00:00:00,4.2,0.56,8.89,-7.78,64
14939,2017-03-03 00:00:00,4.7,0.56,13.89,-8.33,59.9
