LANDUSE_ID,IGRO,LANDCOVER,LAI_INIT,BIO_INIT,PHU_PLT,EPCO,RSDIN,CURYR_INIT,CHT,DORMI,USLE_P
11,0,18,0,0,0,0,0,0,0,0,1
21,0,104,0,0,0,0,0,0,0,0,0.8
22,0,104,0,0,0,0,0,0,0,0,0.8
23,0,102,0,0,0,0,0,0,0,0,1
24,0,101,0,0,0,0,0,0,0,0,1
31,0,98,0,0,0,0,0,0,0,0,1
41,0,7,2,400,0,1,150,5,1,0,0.2
42,0,8,3,1000,0,1,300,5,5,0,0.1
43,0,6,2,600,0,1,200,3,2,0,0.2
52,0,16,0,300,0,1,100,0,0,0,0.2
71,0,15,0,100,0,1,50,0,0,0,0.4
81,0,5,0,100,0,1,50,0,0,0,0.4
82,0,1,0,200,0,1,50,0,0,0,0.4
90,0,10,0,300,0,1,100,3,0,0,0.2
95,0,9,0,300,0,1,100,0,0,0,0.2
