## This file define areal structural BMPs parameters.
## Latest update: 2018-11-1
## 1. fengjin: CM (closing measures)
## 2. shengtailincao: ABHMP (arbor-bush-herb mixed plantation)
## 3. dixiaolingaizao: LQFI (low-quality forest improvement)
## 4. jingjilinguo: OI (orchard improvement)
# SUBSCENARIO: BMP unique ID
# NAME: BMP Name
# DESC: BMP Description
# REFERENCE: Literature reference
# LANDUSE: Suitable landuse ID                                                        ,if not sure                ,please fill in 'ALL'                                  ,separated by '-' ,such as '2-4'
# SLPPOS: Suitable slope position                                                     ,if not sure                ,please fill in 'ALL'                                  ,such as '4-16'
# 2023-06-23 Update form of parameters
# PARAMETERS: Spatial parameters that the BMP affects                                 ,the format MUST be:
#             NAME1:DESC1:CHANGE1:FUNCTIONTYPE1:IMPACT1-NAME2:DESC2:CHANGE2:FUNCTIONTYPE:IMPACT2-...
#             where                                                                   ,NAME is the parameter's ID ,which will be one of the GridFS file in SPATIAL.files
#                    DESC is the corresponding description
#                    CHANGE is the change method                                      ,which can be VC            ,RC                                                    ,AC. VC: replace  ,RC: multiply  ,AC: add.
#                    FUNCTION TYPE currently support LINEAR, EXPONENTIAL, SIGMOID, leave it blank if not use.
#                                  If function type is specified, it will read the impact as function parameters.
#                                  LINEAR: Y = a1 + a2*X. Keep a1, a2 in order.
#                                  EXPONENTIAL: Y = a1 + a2*(1-e^(a3*X)). Keep a1, a2, a3 in order.
#                                  SIGMOID: Y = (a1-a4) / (1+ (X/a2)^a3) + a4. Keep a1, a2, a3, a4 in order.
#                    IMPACT is the impact value.
# EFFECTIVENESS: Effectiveness grade represents the degree of improvement in the area ,range from 1 to 5          ,with
#                higher-numbered grades representing better effectiveness.
# CAPEX: capital expenditures  1e+4 RMBY/km2
# OPEX: operation expenses  1e+4 RMBY/km2/year
# INCOME: additional income  1e+4 RMBY/km2/year
# RAISE_BY_MT: income and parameter value raised by maintenance, range between 0 to 1

SUBSCENARIO,NAME,DESC,REFERENCE,LANDUSE,SLPPOS,PARAMETERS,EFFECTIVENESS,CAPEX,OPEX,INCOME,RAISE_BY_MT
# 1,fengjin,fengjin,fengjin,8-6,1-4,OM:Organicmatter:RC:1.5|1.62|1.69|1.74|1.77-Density:bulkdensity:RC:0.98|0.97|0.95|0.94|0.92-Porosity:Totalporosity:RC:1.02|1.03|1.05|1.06|1.08-USLE_K:USLEsoilerodibility:RC:0.78|0.99|0.7|0.6|0.26-Conductivity:Soilhydraulicconductivity:RC:2.21|4|3.35|3.6|5.24-FieldCap:Soilfieldcapacity:RC:1.02|1.03|1.05|1.06|1.08-Wiltingpoint:Wiltingpoint:RC:1.02|1.03|1.05|1.06|1.08-SOL_AWC:Soilavailablewater:RC:1.02|1.03|1.05|1.06|1.08-SOL_UL:Soilsaturatedwater:RC:1.02|1.03|1.05|1.06|1.08-SOL_CBN:Soilcarboncontent:RC:1.5|1.62|1.69|1.74|1.77,3,15.5,1.5,0|0|2.0|2.0|2.0
# 2,shengtailincao,shengtailincao,shengtailincao,4-8-6,1-4-16,OM:Organicmatter:RC:1.3|1.36|1.4|1.42|1.42-Density:bulkdensity:RC:0.99|0.98|0.97|0.96|0.95-Porosity:Totalporosity:RC:1.01|1.02|1.03|1.04|1.05-USLE_K:USLEsoilerodibility:RC:0.71|0.89|0.76|0.75|0.8-Conductivity:Soilhydraulicconductivity:RC:1.39|1.38|1.26|1.15|1.07-FieldCap:Soilfieldcapacity:RC:1.01|1.02|1.03|1.04|1.05-Wiltingpoint:Wiltingpoint:RC:1.01|1.02|1.03|1.04|1.05-SOL_AWC:Soilavailablewater:RC:1.01|1.02|1.03|1.04|1.05-SOL_UL:Soilsaturatedwater:RC:1.01|1.02|1.03|1.04|1.05-SOL_CBN:Soilcarboncontent:RC:1.3|1.36|1.4|1.42|1.42,5,87.5,1.5,0|0|6.9|6.9|6.9
# 3,dixiaolingaizao,dixiaolingaizao,dixiaolingaizao,8-6,4,OM:Organicmatter:RC:2.8|3.22|3.47|3.66|3.8-Density:bulkdensity:RC:0.98|0.96|0.94|0.92|0.9-Porosity:Totalporosity:RC:1.02|1.04|1.07|1.09|1.11-USLE_K:USLEsoilerodibility:RC:0.88|0.8|0.6|0.69|0.73-Conductivity:Soilhydraulicconductivity:RC:1.54|2|2.76|2.53|2.38-FieldCap:Soilfieldcapacity:RC:1.02|1.04|1.07|1.09|1.11-Wiltingpoint:Wiltingpoint:RC:1.02|1.04|1.07|1.09|1.11-SOL_AWC:Soilavailablewater:RC:1.02|1.04|1.07|1.09|1.11-SOL_UL:Soilsaturatedwater:RC:1.02|1.04|1.07|1.09|1.11-SOL_CBN:Soilcarboncontent:RC:2.8|3.22|3.47|3.66|3.8,4,45.5,1.5,0|0|3.9|3.9|3.9
# 4,jingjilinguo,jingjilinguo,jingjilinguo,4-8-6,16,OM:Organicmatter:RC:1.2|1.23|1.25|1.26|1.3-Density:bulkdensity:RC:0.99|0.98|0.96|0.95|0.94-Porosity:Totalporosity:RC:1.01|1.02|1.04|1.05|1.06-USLE_K:USLEsoilerodibility:RC:1.1|1.06|0.7|0.65|0.76-Conductivity:Soilhydraulicconductivity:RC:0.9|1.16|0.95|1.6|1.81-FieldCap:Soilfieldcapacity:RC:1.01|1.02|1.04|1.05|1.06-Wiltingpoint:Wiltingpoint:RC:1.01|1.02|1.04|1.05|1.06-SOL_AWC:Soilavailablewater:RC:1.01|1.02|1.04|1.05|1.06-SOL_UL:Soilsaturatedwater:RC:1.01|1.02|1.04|1.05|1.06-SOL_CBN:Soilcarboncontent:RC:1.2|1.23|1.25|1.26|1.3,4,420,20,0|0|0|0|60.3

1,fengjin,fengjin,fengjin,8-6,1-4,OM:Organicmatter:RC::1.5|1.62|1.69|1.74|1.77-Density:bulkdensity:RC::0.98|0.97|0.95|0.94|0.92-Porosity:Totalporosity:RC::1.02|1.03|1.05|1.06|1.08-USLE_K:USLEsoilerodibility:RC:EXPONENTIAL:0.94|0.24|0.33-Conductivity:Soilhydraulicconductivity:RC:SIGMOID:2.3|2.21|3.36|5.74-FieldCap:Soilfieldcapacity:RC::1.02|1.03|1.05|1.06|1.08-Wiltingpoint:Wiltingpoint:RC::1.02|1.03|1.05|1.06|1.08-SOL_AWC:Soilavailablewater:RC::1.02|1.03|1.05|1.06|1.08-SOL_UL:Soilsaturatedwater:RC::1.02|1.03|1.05|1.06|1.08-SOL_CBN:Soilcarboncontent:RC::1.5|1.62|1.69|1.74|1.77,3,15.5,1.5,0|0|2.0|2.0|2.0,0.1
2,shengtailincao,shengtailincao,shengtailincao,4-8-6,1-4-16,OM:Organicmatter:RC:LINEAR:1.3|0.04-Density:bulkdensity:RC::0.99|0.98|0.97|0.96|0.95-Porosity:Totalporosity:RC:LINEAR:1.01|0.01-USLE_K:USLEsoilerodibility:RC::0.71|0.89|0.76|0.75|0.8-Conductivity:Soilhydraulicconductivity:RC::1.39|1.38|1.26|1.15|1.07-FieldCap:Soilfieldcapacity:RC::1.01|1.02|1.03|1.04|1.05-Wiltingpoint:Wiltingpoint:RC::1.01|1.02|1.03|1.04|1.05-SOL_AWC:Soilavailablewater:RC::1.01|1.02|1.03|1.04|1.05-SOL_UL:Soilsaturatedwater:RC::1.01|1.02|1.03|1.04|1.05-SOL_CBN:Soilcarboncontent:RC::1.3|1.36|1.4|1.42|1.42,5,87.5,1.5,0|0|6.9|6.9|6.9,0.2
3,dixiaolingaizao,dixiaolingaizao,dixiaolingaizao,8-6,4,OM:Organicmatter:RC:2.8|3.22|3.47|3.66|3.8-Density:bulkdensity:RC:0.98|0.96|0.94|0.92|0.9-Porosity:Totalporosity:RC:1.02|1.04|1.07|1.09|1.11-USLE_K:USLEsoilerodibility:RC:0.88|0.8|0.6|0.69|0.73-Conductivity:Soilhydraulicconductivity:RC:1.54|2|2.76|2.53|2.38-FieldCap:Soilfieldcapacity:RC:1.02|1.04|1.07|1.09|1.11-Wiltingpoint:Wiltingpoint:RC:1.02|1.04|1.07|1.09|1.11-SOL_AWC:Soilavailablewater:RC:1.02|1.04|1.07|1.09|1.11-SOL_UL:Soilsaturatedwater:RC:1.02|1.04|1.07|1.09|1.11-SOL_CBN:Soilcarboncontent:RC:2.8|3.22|3.47|3.66|3.8,4,45.5,1.5,0|0|3.9|3.9|3.9,0.2
4,jingjilinguo,jingjilinguo,jingjilinguo,4-8-6,16,OM:Organicmatter:RC:1.2|1.23|1.25|1.26|1.3-Density:bulkdensity:RC:0.99|0.98|0.96|0.95|0.94-Porosity:Totalporosity:RC:1.01|1.02|1.04|1.05|1.06-USLE_K:USLEsoilerodibility:RC:1.1|1.06|0.7|0.65|0.76-Conductivity:Soilhydraulicconductivity:RC:0.9|1.16|0.95|1.6|1.81-FieldCap:Soilfieldcapacity:RC:1.01|1.02|1.04|1.05|1.06-Wiltingpoint:Wiltingpoint:RC:1.01|1.02|1.04|1.05|1.06-SOL_AWC:Soilavailablewater:RC:1.01|1.02|1.04|1.05|1.06-SOL_UL:Soilsaturatedwater:RC:1.01|1.02|1.04|1.05|1.06-SOL_CBN:Soilcarboncontent:RC:1.2|1.23|1.25|1.26|1.3,4,420,20,0|0|0|0|60.3,0.25

